time,gyr_x,gyr_y,gyr_z,x_sum,y_sum,z_sum,,,time,oldX
1.63E+18,-0.027803,-0.54915,-0.347949,0.136889647,-0.131970992,-0.020311928,,,1.63E+18,-0.659481
1.63E+18,0.031922,-0.553269,-0.530685,0.136611343,-0.137467905,-0.023794847,,,1.63E+18,-0.697203
1.63E+18,0.118246,-0.34184,-0.746477,0.136930248,-0.142995142,-0.029096467,,,1.63E+18,-0.73287
1.63E+18,0.238988,0.055763,-0.939144,0.138112693,-0.146413498,-0.036561141,,,1.63E+18,-0.765655
1.63E+18,0.341299,0.466055,-1.047599,0.140502604,-0.145855861,-0.045952701,,,1.63E+18,-0.795526
1.63E+18,0.38666,0.776829,-1.03306,0.14391555,-0.14119537,-0.056428557,,,1.63E+18,-0.823463
1.63E+18,0.380552,0.964539,-0.880693,0.14778606,-0.133419225,-0.066769603,,,1.63E+18,-0.849115
1.63E+18,0.349101,1.029378,-0.599364,0.151587732,-0.123783588,-0.075567628,,,1.63E+18,-0.872553
1.63E+18,0.280509,0.919247,-0.206874,0.155078787,-0.113489677,-0.081561345,,,1.63E+18,-0.894579
1.63E+18,0.228987,0.68656,0.169175,0.157883841,-0.104297324,-0.083630058,,,1.63E+18,-0.914789
1.63E+18,0.190782,0.417675,0.518851,0.16017374,-0.097431636,-0.081938286,,,1.63E+18,-0.933192
1.63E+18,0.171583,0.299429,0.777544,0.16208344,-0.09325077,-0.076744663,,,1.63E+18,-0.950772
1.63E+18,0.133256,0.418757,0.880292,0.163797579,-0.090259431,-0.068976886,,,1.63E+18,-0.966894
1.63E+18,0.029671,0.720612,0.830323,0.165130122,-0.086071915,-0.060174079,,,1.63E+18,-0.981468
1.63E+18,-0.175057,1.01154,0.656802,0.165426836,-0.078865702,-0.051870743,,,1.63E+18,-0.995367
1.63E+18,-0.434203,1.123626,0.402839,0.163676288,-0.068750432,-0.045302807,,,1.63E+18,-1.008066
1.63E+18,-0.730717,1.0602,0.135647,0.159334203,-0.057514028,-0.041274365,,,1.63E+18,-1.019504
1.63E+18,-1.0125,0.888599,-0.099571,0.152027126,-0.046912164,-0.039917912,,,1.63E+18,-1.030352
1.63E+18,-1.275085,0.660171,-0.26255,0.141901997,-0.03802606,-0.040913635,,,1.63E+18,-1.040179
1.63E+18,-1.508436,0.303356,-0.301139,0.12915131,-0.031424434,-0.043539102,,,1.63E+18,-1.048948
1.63E+18,-1.705885,-0.106884,-0.229738,0.114066757,-0.028390836,-0.04655053,,,1.63E+18,-1.056051
1.63E+18,-1.847955,-0.442563,-0.091298,0.097008125,-0.029459662,-0.048847881,,,1.63E+18,-1.060999
1.63E+18,-1.925203,-0.618964,0.067248,0.078528339,-0.033885349,-0.049760872,,,1.63E+18,-1.063841
1.63E+18,-1.908552,-0.647447,0.203872,0.059276555,-0.040074909,-0.049088401,,,1.63E+18,-1.064598
1.63E+18,-1.801127,-0.552781,0.256738,0.040190791,-0.046549462,-0.047049655,,,1.63E+18,-1.062956
1.63E+18,-1.598896,-0.403887,0.214641,0.022179751,-0.052077202,-0.044482308,,,1.63E+18,-1.0591
1.63E+18,-1.336434,-0.279253,0.105837,0.006190587,-0.056116123,-0.04233587,,,1.63E+18,-1.053626
1.63E+18,-1.063481,-0.169646,-0.039218,-0.007173582,-0.058908617,-0.041277514,,,1.63E+18,-1.046576
1.63E+18,-0.800251,-0.084718,-0.177308,-0.017808528,-0.060605099,-0.041669699,,,1.63E+18,-1.038295
1.63E+18,-0.55669,0.004224,-0.284279,-0.025810936,-0.061452268,-0.043442756,,,1.63E+18,-1.029247
1.63E+18,-0.345191,0.128386,-0.345313,-0.031377907,-0.061410028,-0.046285583,,,1.63E+18,-1.01982
1.63E+18,-0.180676,0.307998,-0.356309,-0.034829773,-0.060126184,-0.049738668,,,1.63E+18,-1.010448
1.63E+18,-0.061034,0.456753,-0.351614,-0.036636556,-0.057046165,-0.053301804,,,1.63E+18,-1.001224
1.63E+18,0.000855,0.478936,-0.361981,-0.037246888,-0.052478693,-0.056817899,,,1.63E+18,-0.992456
1.63E+18,0.006877,0.343271,-0.409297,-0.037238338,-0.047689272,-0.060437755,,,1.63E+18,-0.98423
1.63E+18,-0.023161,0.122382,-0.490368,-0.037169569,-0.044256606,-0.064530673,,,1.63E+18,-0.976302
1.63E+18,-0.073688,-0.112958,-0.57369,-0.037401182,-0.04303277,-0.069434416,,,1.63E+18,-0.968947
1.63E+18,-0.117775,-0.318331,-0.624776,-0.038138053,-0.044162336,-0.075171242,,,1.63E+18,-0.962226
1.63E+18,-0.126746,-0.41942,-0.616119,-0.039315818,-0.047345687,-0.081419082,,,1.63E+18,-0.955936
1.63E+18,-0.108525,-0.430346,-0.551315,-0.040583261,-0.051539833,-0.087580193,,,1.63E+18,-0.950333
1.63E+18,-0.058975,-0.469057,-0.418059,-0.041668525,-0.055843348,-0.093093414,,,1.63E+18,-0.945447
1.63E+18,-0.007906,-0.583167,-0.231989,-0.042258857,-0.060538541,-0.097278124,,,1.63E+18,-0.940919
