stb->k,time,curX,curY,curZ,refX,refY,refZ,oldX,oldY,oldZ
165,1626666307883713000,0.553133,0.003391,0.033828,0.553133,0.003391,0.033828,0.756853,0.007110,0.044338
166,1626666307917038000,0.527279,0.004476,0.031563,0.527279,0.004476,0.031563,0.732802,0.007612,0.043367
167,1626666307950364000,0.502083,0.005333,0.028430,0.502083,0.005333,0.028430,0.707707,0.008137,0.042335
168,1626666307983690000,0.476410,0.006271,0.025556,0.476410,0.006271,0.025556,0.682261,0.008677,0.041256
169,1626666308017016000,0.449259,0.006409,0.023380,0.449259,0.006409,0.023380,0.656778,0.009228,0.040139
170,1626666308050341000,0.421147,0.005866,0.022175,0.421147,0.005866,0.022175,0.630340,0.009789,0.038983
171,1626666308083667000,0.392349,0.006430,0.021248,0.392349,0.006430,0.021248,0.603680,0.010349,0.037802
172,1626666308116993000,0.364569,0.007440,0.019996,0.364569,0.007440,0.019996,0.577113,0.010906,0.036605
173,1626666308150319000,0.338613,0.008423,0.018303,0.338613,0.008423,0.018303,0.549718,0.011450,0.035400
174,1626666308183645000,0.313209,0.009108,0.016687,0.313209,0.009108,0.016687,0.522266,0.011970,0.034205
175,1626666308216970000,0.287175,0.009908,0.015376,0.287175,0.009908,0.015376,0.495069,0.012464,0.033023
176,1626666308250296000,0.260826,0.010281,0.013974,0.260826,0.010281,0.013974,0.467189,0.012958,0.031812
177,1626666308283622000,0.233806,0.010174,0.012537,0.233806,0.010174,0.012537,0.439429,0.013442,0.030589
178,1626666308316947000,0.205568,0.009924,0.011111,0.205568,0.009924,0.011111,0.412094,0.013916,0.029361
179,1626666308350273000,0.176637,0.009466,0.009518,0.176637,0.009466,0.009518,0.384320,0.014398,0.028089
180,1626666308383599000,0.148354,0.010130,0.007659,0.148354,0.010130,0.007659,0.356939,0.014882,0.026790
181,1626666308416925000,0.121346,0.010337,0.005950,0.121346,0.010337,0.005950,0.330240,0.015367,0.025472
182,1626666308450250000,0.093728,0.010333,0.004292,0.093728,0.010333,0.004292,0.303179,0.015792,0.024216
183,1626666308483576000,0.065242,0.008677,0.002728,0.065242,0.008677,0.002728,0.276573,0.016143,0.023041
184,1626666308516902000,0.037464,0.007645,0.000693,0.037464,0.007645,0.000693,0.250703,0.016425,0.021944
185,1626666308550227000,0.010651,0.006871,-0.001430,0.010651,0.006871,-0.001430,0.224626,0.016680,0.020869
186,1626666308583553000,-0.015178,0.006511,-0.003312,-0.015178,0.006511,-0.003312,0.199160,0.016903,0.019833
187,1626666308616879000,-0.039973,0.006431,-0.005338,-0.039973,0.006431,-0.005338,0.174573,0.017097,0.018837
188,1626666308650205000,-0.064098,0.007399,-0.006969,-0.064098,0.007399,-0.006969,0.149916,0.017273,0.017855
189,1626666308683531000,-0.087765,0.008657,-0.007323,-0.087765,0.008657,-0.007323,0.125983,0.017430,0.016901
190,1626666308716856000,-0.112266,0.009685,-0.006143,-0.112266,0.009685,-0.006143,0.103022,0.017570,0.015979
191,1626666308750182000,-0.136676,0.009627,-0.004634,-0.136676,0.009627,-0.004634,0.079921,0.017719,0.015034
192,1626666308783508000,-0.160501,0.010183,-0.003551,-0.160501,0.010183,-0.003551,0.057427,0.017877,0.014080
193,1626666308816834000,-0.182609,0.010587,-0.003394,-0.182609,0.010587,-0.003394,0.035782,0.018046,0.013124
194,1626666308850159000,-0.203229,0.010789,-0.004329,-0.203229,0.010789,-0.004329,0.013922,0.018201,0.012173
195,1626666308883485000,-0.222773,0.010444,-0.005399,-0.222773,0.010444,-0.005399,-0.007444,0.018343,0.011243
196,1626666308916811000,-0.241777,0.010932,-0.005731,-0.241777,0.010932,-0.005731,-0.028074,0.018473,0.010338
197,1626666308950136000,-0.261029,0.011102,-0.005728,-0.261029,0.011102,-0.005728,-0.048954,0.018601,0.009423
198,1626666308983462000,-0.280046,0.011522,-0.006589,-0.280046,0.011522,-0.006589,-0.069394,0.018730,0.008513
199,1626666309016788000,-0.299304,0.011835,-0.008722,-0.299304,0.011835,-0.008722,-0.089156,0.018861,0.007614
200,1626666309050114000,-0.319412,0.011383,-0.011094,-0.319412,0.011383,-0.011094,-0.109340,0.018986,0.006716
201,1626666309083439000,-0.339582,0.011047,-0.012725,-0.339582,0.011047,-0.012725,-0.129291,0.019106,0.005836
202,1626666309116765000,-0.359513,0.011287,-0.013210,-0.359513,0.011287,-0.013210,-0.148762,0.019222,0.004977
203,1626666309150091000,-0.378516,0.010596,-0.013022,-0.378516,0.010596,-0.013022,-0.168691,0.019371,0.004069
204,1626666309183416000,-0.397930,0.011845,-0.013225,-0.397930,0.011845,-0.013225,-0.188424,0.019557,0.003127
205,1626666309216743000,-0.417094,0.012654,-0.013656,-0.417094,0.012654,-0.013656,-0.207712,0.019778,0.002158
206,1626666309250068000,-0.435435,0.014013,-0.013793,-0.435435,0.014013,-0.013793,-0.227420,0.020024,0.001156
207,1626666309283394000,-0.453673,0.014873,-0.013717,-0.453673,0.014873,-0.013717,-0.246886,0.020294,0.000137
208,1626666309316720000,-0.473596,0.014658,-0.013579,-0.473596,0.014658,-0.013579,-0.265864,0.020588,-0.000895
209,1626666309350046000,-0.495371,0.016371,-0.013698,-0.495371,0.016371,-0.013698,-0.285250,0.020901,-0.001950
210,1626666309383371000,-0.515940,0.017079,-0.014535,-0.515940,0.017079,-0.014535,-0.304390,0.021232,-0.003014
211,1626666309416697000,-0.535405,0.017818,-0.016074,-0.535405,0.017818,-0.016074,-0.323037,0.021580,-0.004081
212,1626666309450023000,-0.554738,0.019697,-0.017893,-0.554738,0.019697,-0.017893,-0.341886,0.021925,-0.005139
213,1626666309483348000,-0.573152,0.021549,-0.019000,-0.573152,0.021549,-0.019000,-0.360262,0.022263,-0.006172
214,1626666309516674000,-0.590868,0.022168,-0.019519,-0.590868,0.022168,-0.019519,-0.377930,0.022593,-0.007178
215,1626666309550000000,-0.608765,0.023164,-0.019740,-0.608765,0.023164,-0.019740,-0.395596,0.022900,-0.008147
216,1626666309583326000,-0.626988,0.023626,-0.020113,-0.626988,0.023626,-0.020113,-0.412589,0.023179,-0.009064
217,1626666309616651000,-0.645539,0.024150,-0.020761,-0.645539,0.024150,-0.020761,-0.428693,0.023432,-0.009930
218,1626666309649977000,-0.664305,0.026245,-0.021338,-0.664305,0.026245,-0.021338,-0.444830,0.023666,-0.010765
219,1626666309683303000,-0.680911,0.025799,-0.021891,-0.680911,0.025799,-0.021891,-0.460378,0.023878,-0.011554
220,1626666309716628000,-0.696124,0.025002,-0.022162,-0.696124,0.025002,-0.022162,-0.475133,0.024069,-0.012301
221,1626666309749954000,-0.709709,0.024262,-0.022263,-0.709709,0.024262,-0.022263,-0.489931,0.024245,-0.013018
222,1626666309783280000,-0.721855,0.025038,-0.022965,-0.721855,0.025038,-0.022965,-0.504181,0.024404,-0.013694
223,1626666309816606000,-0.731669,0.024995,-0.023540,-0.731669,0.024995,-0.023540,-0.517690,0.024546,-0.014331
224,1626666309849932000,-0.738882,0.024946,-0.023922,-0.738882,0.024946,-0.023922,-0.531233,0.024677,-0.014944
225,1626666309883257000,-0.745815,0.025173,-0.024185,-0.745815,0.025173,-0.024185,-0.544247,0.024797,-0.015522
226,1626666309916583000,-0.752723,0.025935,-0.024307,-0.752723,0.025935,-0.024307,-0.556552,0.024904,-0.016069
227,1626666309949909000,-0.757223,0.024996,-0.023966,-0.757223,0.024996,-0.023966,-0.568872,0.025006,-0.016598
228,1626666309983235000,-0.761020,0.023198,-0.023080,-0.761020,0.023198,-0.023080,-0.580671,0.025100,-0.017103
229,1626666310016560000,-0.765326,0.023584,-0.022189,-0.765326,0.023584,-0.022189,-0.591781,0.025186,-0.017584
230,1626666310049886000,-0.767401,0.024172,-0.021383,-0.767401,0.024172,-0.021383,-0.602870,0.025270,-0.018055
